real_name,obj1,obj2,obj1_sd,obj2_sd
gen=65_member=152_pso,-9.93411,0.0735657,0,0
gen=0_training=15,-6.30661,-6.98287,0,0
gen=75_member=447_pso,-8.00383,-3.7529,0,0
gen=11_member=328_pso,-8.90203,-0.27136,0,0
gen=74_member=414_pso,-8.19123,-3.14899,0,0
gen=12_member=357_pso,-8.34959,-2.42207,0,0
gen=74_member=403_pso,-8.44327,-1.63642,0,0
gen=71_member=330_pso,-8.7193,-0.740008,0,0
gen=15_member=446_pso,-8.56961,-1.37278,0,0
gen=62_member=58_pso,-8.58122,-1.20816,0,0
gen=18_member=531_pso,-8.66975,-0.898147,0,0
gen=55_member=426_pso,-8.67216,-0.7637,0,0
