generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=5_member=147_pso,-9.81508,0.188966,2,1e+30,9.33254,9.33254,1,-999
0,gen=0_training=15,-6.30661,-6.98287,1,1e+30,0.159437,0.159437,1,-999
0,gen=19_member=556_pso,-7.93697,-3.654,2,1e+30,0.389121,0.389121,1,-999
0,gen=11_member=328_pso,-8.90203,-0.27136,1,0.450184,6.3822,6.3822,1,-999
0,gen=12_member=357_pso,-8.34959,-2.42207,1,0.283834,0.330467,0.330467,1,-999
0,gen=15_member=446_pso,-8.56961,-1.37278,1,0.0987196,0.382022,0.382022,1,-999
0,gen=41_member=10_pso,-7.95885,-3.37077,2,0.263988,0.419328,0.419328,1,-999
0,gen=55_member=426_pso,-8.67216,-0.7637,1,0.0360702,0.393181,0.393181,1,-999
0,gen=18_member=531_pso,-8.66975,-0.898147,1,0.0880561,0.402401,0.402401,1,-999
0,gen=62_member=58_pso,-8.58122,-1.20816,1,0.0948682,0.407553,0.407553,1,-999
0,gen=65_member=152_pso,-9.93411,0.0735657,1,1e+30,10.3238,10.3238,1,-999
0,gen=66_member=160_pso,-9.42443,0.431582,3,1e+30,0.36395,0.36395,1,-999
0,gen=67_member=192_pso,-8.85051,-0.10066,2,1.73601,5.37698,5.37698,1,-999
0,gen=71_member=330_pso,-8.7193,-0.740008,1,0.13314,5.39952,5.39952,1,-999
0,gen=74_member=403_pso,-8.44327,-1.63642,1,0.209353,0.358267,0.358267,1,-999
0,gen=74_member=414_pso,-8.19123,-3.14899,1,0.283914,1.37989,1.37989,1,-999
0,gen=75_member=447_pso,-8.00383,-3.7529,1,1.06285,2.37894,2.37894,1,-999
0,gen=75_member=450_pso,-8.68734,0.306467,3,1e+30,0.36395,0.36395,1,-999
0,gen=77_member=507_pso,-8.1811,-3.13904,2,1.3257,0.37894,0.37894,1,-999
0,gen=78_member=513_pso,-9.08866,0.402835,3,2,0.370432,0.370432,1,-999
