real_name,obj1,obj2,obj1_sd,obj2_sd
gen=0_training=15,-6.30661,-6.98287,0,0
gen=11_member=328_pso,-8.90203,-0.27136,0,0
gen=12_member=357_pso,-8.34959,-2.42207,0,0
gen=15_member=446_pso,-8.56961,-1.37278,0,0
gen=18_member=531_pso,-8.66975,-0.898147,0,0
gen=19_member=556_pso,-7.93697,-3.654,0,0
gen=41_member=10_pso,-7.95885,-3.37077,0,0
gen=43_member=74_pso,-3.49461,3.64773,0,0
gen=43_member=79_pso,-7.10978,0.0720751,0,0
gen=44_member=121_pso,-9.14982,0.413351,0,0
gen=47_member=200_pso,-7.84073,-1.19847,0,0
gen=49_member=247_pso,-8.71703,-0.21184,0,0
gen=49_member=259_pso,-6.76314,8.06543,0,0
gen=51_member=318_pso,-9.03316,0.469771,0,0
gen=53_member=379_pso,-3.33832,4.21883,0,0
gen=54_member=394_pso,-7.77645,-0.00753958,0,0
gen=54_member=411_pso,-3.50136,4.27089,0,0
gen=54_member=417_pso,-9.39668,0.671358,0,0
gen=55_member=426_pso,-8.67216,-0.7637,0,0
gen=55_member=433_pso,-3.56993,3.12873,0,0
gen=55_member=448_pso,-9.7893,0.240993,0,0
gen=58_member=516_pso,-5.67426,0.452639,0,0
gen=59_member=546_pso,-8.69617,-0.145653,0,0
gen=59_member=560_pso,-3.51459,6.03693,0,0
gen=5_member=147_pso,-9.81508,0.188966,0,0
gen=60_member=576_pso,-3.49927,4.05296,0,0
gen=60_member=582_pso,-7.79793,-3.0079,0,0
