real_name,x1,x2
gen=100_member=5000_pso,0.0252088,0.432572
gen=100_member=5001_pso,0.289141,0.080971
gen=100_member=5002_pso,0.033168,0.406282
gen=100_member=5003_pso,-1.81115,-1.11861
gen=100_member=5004_pso,0.00651537,0.719459
gen=100_member=5005_pso,-0.605187,-0.667799
gen=100_member=5006_pso,0.00534601,-0.710333
gen=100_member=5007_pso,-0.8943,-1.15419
gen=100_member=5008_pso,-1.93661,-0.983757
gen=100_member=5009_pso,-0.457864,-0.522361
gen=100_member=5010_pso,-0.777164,-0.854576
gen=100_member=5011_pso,0.229327,-0.243349
gen=100_member=5012_pso,0.481986,-0.695097
gen=100_member=5013_pso,0.0222208,-0.818114
gen=100_member=5014_pso,-0.0663525,-1.32429
gen=100_member=5015_pso,-1.93922,-1.26416
gen=100_member=5016_pso,-1.28021,-1.22121
gen=100_member=5017_pso,0.00962966,-0.91933
gen=100_member=5018_pso,-2.12658,-0.777709
gen=100_member=5019_pso,0.0421046,-0.654968
gen=100_member=5020_pso,-1.73035,-1.41377
gen=100_member=5021_pso,0.332478,-0.916672
gen=100_member=5022_pso,-0.255046,0.0509215
gen=100_member=5023_pso,-1.26464,-1.32187
gen=100_member=5024_pso,-0.986257,-0.781571
gen=100_member=5025_pso,-0.00515513,-0.23065
gen=100_member=5026_pso,0.0382332,0.0192717
gen=100_member=5027_pso,-0.899474,-0.334406
gen=100_member=5028_pso,-1.49682,-0.502928
gen=100_member=5029_pso,-1.86196,-1.25979
gen=100_member=5030_pso,0.0257408,0.338647
gen=100_member=5031_pso,-0.00209562,-0.342264
gen=100_member=5032_pso,-1.71171,-0.924251
gen=100_member=5033_pso,-1.27332,-0.964148
gen=100_member=5034_pso,-2.0439,-1.32849
gen=100_member=5035_pso,-0.115569,-0.568474
gen=100_member=5036_pso,-0.336899,-0.368508
gen=100_member=5037_pso,-0.0724463,-1.10752
gen=100_member=5038_pso,-1.19738,-2.01184
gen=100_member=5039_pso,-0.446991,-0.630975
gen=100_member=5040_pso,-1.83159,-1.22913
gen=100_member=5041_pso,0.53179,-0.136297
gen=100_member=5042_pso,0.0385227,-1.14483
gen=100_member=5043_pso,-0.727695,-0.637642
gen=100_member=5044_pso,-0.306906,-0.598708
gen=100_member=5045_pso,-1.10723,-1.05615
gen=100_member=5046_pso,0.885219,0.495114
gen=100_member=5047_pso,-1.59434,-1.12084
gen=100_member=5048_pso,-0.979798,-0.711077
gen=100_member=5049_pso,-0.01855,-0.784213
