real_name,x1,x2
gen=54_member=2720_pso,0.00269196,-0.00114273
gen=36_member=1816_pso,-1.12689,-1.15773
gen=29_member=1488_pso,-0.0023108,-0.483036
gen=52_member=2649_pso,-1.06272,-1.08134
gen=35_member=1776_pso,-1.10336,-1.08196
gen=27_member=1392_pso,-0.00133759,-1.1572
gen=38_member=1922_pso,-1.01176,-0.902088
gen=16_member=831_pso,-0.760177,-0.966081
gen=39_member=1994_pso,-0.857533,0.0691864
gen=23_member=1184_pso,-1.00673,-0.983052
gen=22_member=1114_pso,-0.991861,-0.974668
gen=25_member=1250_pso,-0.876813,-0.0855936
gen=31_member=1575_pso,-0.0529037,-1.05232
gen=11_member=567_pso,-0.0193318,-0.692666
gen=31_member=1578_pso,-0.81986,-1.07832
gen=49_member=2455_pso,-0.0294749,-0.620735
gen=35_member=1761_pso,-1.06082,-0.991542
gen=41_member=2066_pso,-0.865156,-0.968107
gen=12_member=619_pso,-1.03199,-0.985065
gen=45_member=2279_pso,-1.01099,0.0320607
gen=23_member=1177_pso,-0.634021,-1.02498
gen=24_member=1222_pso,-0.00174891,-0.762903
gen=18_member=920_pso,0.01909,-0.964163
gen=22_member=1106_pso,-1.01016,-0.921628
gen=38_member=1944_pso,-0.000742459,-0.714438
gen=23_member=1195_pso,0.0367185,-0.748467
gen=15_member=769_pso,-0.982435,-0.0284217
gen=49_member=2490_pso,-0.905017,-0.911253
gen=37_member=1872_pso,-0.0542732,-0.954934
gen=30_member=1514_pso,-0.983584,-0.890908
gen=16_member=845_pso,-0.830552,-0.0245217
gen=21_member=1092_pso,0.120699,-1.00245
gen=32_member=1624_pso,-0.0560852,-0.647568
gen=21_member=1077_pso,-1.02106,-1.0898
gen=56_member=2821_pso,-0.0217434,-0.886847
gen=36_member=1847_pso,-0.0601623,-1.11265
gen=14_member=729_pso,-0.871154,-0.883381
gen=57_member=2856_pso,0.0313618,-1.07289
gen=23_member=1173_pso,-0.808672,-0.968948
gen=19_member=995_pso,-1.08072,-0.030919
gen=28_member=1410_pso,-0.0374859,-0.939302
gen=31_member=1569_pso,0.0247128,-0.808919
gen=9_member=492_pso,-0.0453239,-0.931099
gen=30_member=1519_pso,0.0283583,-0.836459
gen=19_member=998_pso,0.0420736,-0.513103
gen=19_member=960_pso,-0.971712,-1.04038
gen=45_member=2251_pso,-1.09447,-1.12544
gen=59_member=2993_pso,-1.00739,-1.06815
gen=10_member=530_pso,-0.802714,0.0442451
gen=26_member=1322_pso,-0.857319,-0.994675
gen=37_member=1892_pso,0.122095,-0.923814
gen=13_member=658_pso,-0.958842,-0.743492
gen=43_member=2173_pso,-0.949851,-0.851986
gen=2_member=134_pso,0.0274846,-1.1262
gen=55_member=2757_pso,-1.00089,-0.856901
gen=33_member=1691_pso,-1.11824,-1.12624
gen=27_member=1381_pso,-0.801306,-0.989321
gen=42_member=2143_pso,-0.597654,-0.00194077
gen=22_member=1112_pso,-0.00336126,-0.555332
gen=30_member=1541_pso,0.0330365,-1.03148
gen=22_member=1127_pso,0.023162,-0.672556
gen=32_member=1614_pso,-0.0558023,-1.03007
gen=56_member=2809_pso,-0.00176368,-0.540531
gen=43_member=2156_pso,-0.0282395,-0.735101
gen=11_member=597_pso,-1.02979,-1.02678
gen=57_member=2873_pso,0.00898136,-0.677426
gen=36_member=1848_pso,-0.00116359,-0.893133
gen=25_member=1297_pso,-0.926443,-1.02332
gen=54_member=2726_pso,-0.0271283,-0.785819
gen=24_member=1248_pso,0.0346194,-0.575135
gen=41_member=2091_pso,-0.883034,-0.884304
gen=35_member=1782_pso,-0.014267,-0.655575
gen=58_member=2932_pso,-1.04296,-1.0422
gen=44_member=2210_pso,-0.0227841,-0.778633
gen=37_member=1888_pso,0.0244794,-0.583378
gen=34_member=1704_pso,-0.934829,-1.01284
gen=36_member=1802_pso,-0.0121309,-0.527017
gen=19_member=989_pso,-0.00983521,-0.724864
gen=13_member=657_pso,-0.0232699,-0.593778
gen=38_member=1906_pso,-0.00879466,-0.491503
gen=48_member=2409_pso,-1.08222,-1.01588
gen=20_member=1019_pso,-1.11833,-1.10921
gen=51_member=2574_pso,-0.968977,-0.788375
gen=19_member=962_pso,-0.671256,-1.00676
gen=12_member=636_pso,-0.653753,-0.030945
gen=50_member=2543_pso,-0.0064499,-0.529195
gen=23_member=1165_pso,0.036542,-1.12234
gen=53_member=2690_pso,-0.100476,-0.914547
gen=42_member=2133_pso,-1.02405,-1.08434
gen=21_member=1054_pso,0.0324948,-0.808097
gen=24_member=1217_pso,0.0820902,-0.909653
gen=49_member=2495_pso,-0.991183,-0.697669
gen=47_member=2391_pso,0.0953602,-0.913619
gen=19_member=953_pso,-0.957185,-0.74369
gen=22_member=1103_pso,-0.783015,-0.0293006
gen=16_member=824_pso,0.0824336,-0.90999
gen=39_member=1982_pso,-0.0284926,-0.783086
