real_name,obj1,obj2
gen=60_member=3000_pso,-7.86286,-3.68436
gen=60_member=3001_pso,-6.67639,0.575397
gen=60_member=3002_pso,-7.3009,-5.00982
gen=60_member=3003_pso,-7.20208,6.41572
gen=60_member=3004_pso,-7.10483,-6.8289
gen=60_member=3005_pso,-9.80733,0.235164
gen=60_member=3006_pso,-8.68808,-0.830132
gen=60_member=3007_pso,-6.55112,-4.53659
gen=60_member=3008_pso,-7.62375,-5.65033
gen=60_member=3009_pso,-7.78265,-3.07376
gen=60_member=3010_pso,-9.21775,0.480326
gen=60_member=3011_pso,-8.32041,-1.75778
gen=60_member=3012_pso,-6.97187,6.02715
gen=60_member=3013_pso,-7.45753,-5.87622
gen=60_member=3014_pso,-7.81218,-4.37339
gen=60_member=3015_pso,-9.19076,0.156016
gen=60_member=3016_pso,-7.6307,-1.75486
gen=60_member=3017_pso,-7.56504,4.05657
gen=60_member=3018_pso,-8.13784,-3.08356
gen=60_member=3019_pso,-9.46499,0.327877
gen=60_member=3020_pso,-8.15584,5.41837
gen=60_member=3021_pso,-7.8351,-4.19285
gen=60_member=3022_pso,-9.2346,0.436503
gen=60_member=3023_pso,-6.64024,2.56109
gen=60_member=3024_pso,-9.7013,0.235498
gen=60_member=3025_pso,-8.29535,-2.37039
gen=60_member=3026_pso,-9.09417,0.0545085
gen=60_member=3027_pso,-7.9077,-3.67684
gen=60_member=3028_pso,-7.48509,-5.76741
gen=60_member=3029_pso,-9.41798,0.671604
gen=60_member=3030_pso,-6.33128,-5.94657
gen=60_member=3031_pso,-7.06373,2.71788
gen=60_member=3032_pso,-8.60196,-0.569131
gen=60_member=3033_pso,-9.34944,0.690451
gen=60_member=3034_pso,-8.26146,-2.59034
gen=60_member=3035_pso,-8.07441,-3.04383
gen=60_member=3036_pso,-9.73665,0.25543
gen=60_member=3037_pso,-7.31695,-6.60183
gen=60_member=3038_pso,-7.01036,-0.87975
gen=60_member=3039_pso,-8.12682,-3.20899
gen=60_member=3040_pso,-8.8559,1.85265
gen=60_member=3041_pso,-8.28097,-2.45726
gen=60_member=3042_pso,-9.48636,0.525239
gen=60_member=3043_pso,-6.49132,6.08983
gen=60_member=3044_pso,-6.30985,-5.45117
gen=60_member=3045_pso,-7.76201,-4.56244
gen=60_member=3046_pso,-9.05695,1.21796
gen=60_member=3047_pso,-7.39743,-7.22149
gen=60_member=3048_pso,-8.76833,2.20645
gen=60_member=3049_pso,-9.35125,0.738037
