real_name,x1,x2
gen=54_member=2720_pso,0.00269196,-0.00114273
gen=73_member=3697_pso,-1.15512,-1.14121
gen=29_member=1488_pso,-0.0023108,-0.483036
gen=30_member=1514_pso,-0.983584,-0.890908
gen=77_member=3869_pso,0.0224796,-0.854875
gen=71_member=3559_pso,-0.00474291,-0.619586
gen=75_member=3792_pso,0.00164213,-1.039
gen=64_member=3234_pso,-0.916405,-0.984648
gen=93_member=4663_pso,0.00690789,-0.868472
gen=41_member=2066_pso,-0.865156,-0.968107
gen=98_member=4914_pso,0.000227993,-1.14271
gen=22_member=1106_pso,-1.01016,-0.921628
gen=35_member=1776_pso,-1.10336,-1.08196
gen=64_member=3240_pso,0.0148659,-1.06979
gen=69_member=3464_pso,-0.884523,-0.798166
gen=37_member=1872_pso,-0.0542732,-0.954934
gen=16_member=845_pso,-0.830552,-0.0245217
gen=16_member=831_pso,-0.760177,-0.966081
gen=56_member=2821_pso,-0.0217434,-0.886847
gen=38_member=1922_pso,-1.01176,-0.902088
gen=74_member=3701_pso,0.0313487,-1.10139
gen=72_member=3641_pso,-1.06304,-1.06585
gen=30_member=1519_pso,0.0283583,-0.836459
gen=31_member=1569_pso,0.0247128,-0.808919
gen=49_member=2490_pso,-0.905017,-0.911253
gen=61_member=3079_pso,-1.03918,-1.00328
gen=15_member=769_pso,-0.982435,-0.0284217
gen=78_member=3915_pso,0.0137118,-0.645954
gen=42_member=2143_pso,-0.597654,-0.00194077
gen=45_member=2251_pso,-1.09447,-1.12544
gen=26_member=1322_pso,-0.857319,-0.994675
gen=74_member=3741_pso,-0.0319344,-0.90636
gen=100_member=5006_pso,0.00534601,-0.710333
gen=45_member=2279_pso,-1.01099,0.0320607
gen=55_member=2757_pso,-1.00089,-0.856901
gen=19_member=995_pso,-1.08072,-0.030919
gen=33_member=1691_pso,-1.11824,-1.12624
gen=18_member=920_pso,0.01909,-0.964163
gen=52_member=2649_pso,-1.06272,-1.08134
gen=85_member=4283_pso,-1.03301,-0.988407
gen=87_member=4375_pso,-0.886508,-0.831948
gen=36_member=1848_pso,-0.00116359,-0.893133
gen=22_member=1114_pso,-0.991861,-0.974668
gen=23_member=1177_pso,-0.634021,-1.02498
gen=57_member=2873_pso,0.00898136,-0.677426
gen=93_member=4667_pso,-0.835538,-0.912232
gen=77_member=3862_pso,0.00210197,-0.690985
gen=25_member=1297_pso,-0.926443,-1.02332
gen=99_member=4979_pso,-0.966895,-1.01756
gen=28_member=1410_pso,-0.0374859,-0.939302
gen=10_member=530_pso,-0.802714,0.0442451
gen=70_member=3523_pso,0.0149861,-0.511308
gen=79_member=3973_pso,0.0312858,-0.972173
gen=82_member=4139_pso,0.00461688,-0.991427
gen=21_member=1077_pso,-1.02106,-1.0898
gen=81_member=4083_pso,-0.0177187,-0.757078
gen=59_member=2993_pso,-1.00739,-1.06815
gen=13_member=657_pso,-0.0232699,-0.593778
gen=38_member=1906_pso,-0.00879466,-0.491503
gen=23_member=1195_pso,0.0367185,-0.748467
gen=73_member=3672_pso,0.0155712,-0.788609
gen=30_member=1541_pso,0.0330365,-1.03148
gen=2_member=134_pso,0.0274846,-1.1262
gen=24_member=1248_pso,0.0346194,-0.575135
gen=86_member=4321_pso,0.00445753,-0.576699
gen=34_member=1704_pso,-0.934829,-1.01284
gen=91_member=4585_pso,-0.939635,-0.855971
gen=23_member=1165_pso,0.036542,-1.12234
gen=94_member=4739_pso,-0.0220319,-0.998856
gen=91_member=4591_pso,0.0074599,-1.01837
gen=36_member=1816_pso,-1.12689,-1.15773
gen=78_member=3904_pso,-0.990767,-0.978401
gen=80_member=4003_pso,-0.923672,-0.86218
gen=83_member=4176_pso,-1.07919,-1.08274
gen=19_member=960_pso,-0.971712,-1.04038
gen=61_member=3091_pso,-0.0303513,-0.923491
gen=85_member=4260_pso,-0.000184332,-0.688952
gen=97_member=4878_pso,-0.00967027,-0.928167
gen=92_member=4627_pso,-0.915528,0.013753
gen=35_member=1782_pso,-0.014267,-0.655575
gen=97_member=4858_pso,0.00364174,-0.663018
gen=100_member=5024_pso,-0.986257,-0.781571
gen=70_member=3543_pso,-1.06344,-1.00088
gen=24_member=1222_pso,-0.00174891,-0.762903
gen=23_member=1173_pso,-0.808672,-0.968948
gen=89_member=4459_pso,-0.0239462,-0.776619
gen=20_member=1019_pso,-1.11833,-1.10921
gen=35_member=1761_pso,-1.06082,-0.991542
gen=97_member=4870_pso,-1.05554,-0.949885
gen=65_member=3297_pso,-1.07361,-1.08654
gen=95_member=4783_pso,-0.00144884,-0.667901
gen=22_member=1112_pso,-0.00336126,-0.555332
gen=98_member=4941_pso,0.01134,-0.518919
gen=74_member=3744_pso,-0.776103,-0.924081
gen=23_member=1184_pso,-1.00673,-0.983052
gen=56_member=2809_pso,-0.00176368,-0.540531
gen=19_member=989_pso,-0.00983521,-0.724864
gen=48_member=2409_pso,-1.08222,-1.01588
gen=67_member=3373_pso,-0.939451,-0.868221
gen=11_member=597_pso,-1.02979,-1.02678
gen=84_member=4208_pso,-1.05425,-1.02912
gen=14_member=729_pso,-0.871154,-0.883381
gen=71_member=3584_pso,0.0117281,-0.550707
gen=65_member=3271_pso,-0.967991,-1.02955
gen=43_member=2173_pso,-0.949851,-0.851986
gen=67_member=3361_pso,-0.00687059,-0.534707
gen=65_member=3268_pso,-0.897663,-0.860689
gen=41_member=2091_pso,-0.883034,-0.884304
gen=68_member=3412_pso,-1.02537,0.0212434
gen=21_member=1054_pso,0.0324948,-0.808097
gen=38_member=1944_pso,-0.000742459,-0.714438
gen=84_member=4241_pso,1.94501e-06,-0.759986
gen=63_member=3165_pso,-0.86005,-0.903564
gen=71_member=3593_pso,-0.0462683,-0.937431
gen=90_member=4540_pso,-0.000517624,-0.647022
gen=72_member=3609_pso,-0.0285031,-0.723108
gen=64_member=3247_pso,-1.0186,-1.08907
gen=36_member=1802_pso,-0.0121309,-0.527017
gen=100_member=5049_pso,-0.01855,-0.784213
gen=13_member=658_pso,-0.958842,-0.743492
gen=95_member=4764_pso,0.0321105,-0.734493
gen=82_member=4140_pso,-0.0256397,-0.740469
gen=43_member=2156_pso,-0.0282395,-0.735101
gen=82_member=4103_pso,-1.05496,-1.03452
gen=87_member=4365_pso,0.0322703,-0.742672
gen=94_member=4718_pso,0.0120222,-0.916054
gen=12_member=619_pso,-1.03199,-0.985065
gen=50_member=2543_pso,-0.0064499,-0.529195
gen=44_member=2210_pso,-0.0227841,-0.778633
gen=76_member=3847_pso,-0.89734,-0.908393
gen=72_member=3642_pso,0.0042358,-0.554122
gen=58_member=2932_pso,-1.04296,-1.0422
gen=73_member=3668_pso,-1.1552,-1.13292
gen=19_member=953_pso,-0.957185,-0.74369
gen=22_member=1103_pso,-0.783015,-0.0293006
gen=96_member=4803_pso,-1.02484,-0.992804
gen=49_member=2495_pso,-0.991183,-0.697669
gen=100_member=5048_pso,-0.979798,-0.711077
gen=39_member=1982_pso,-0.0284926,-0.783086
gen=42_member=2133_pso,-1.02405,-1.08434
