time,elapsed_seconds,message
12:24:03,8.25e-05,PEST++ performance logger started
12:24:03,0.0007787,starting to process control file
12:24:03,0.0076527,finished processing control file
12:24:03,0.0109121,initializing MOEA process
12:24:03,0.0008216,using 'nsga2' env selector
12:24:03,0.0001289,using binary tournament mating pool selector
12:24:03,0.0001523,saving generation specific populations and archives every nth generation 20
12:24:03,0.0001333,'opt_dec_var_groups' passed, using 2 adjustable parameters as decision variables
12:24:03,0.000137,number of decision variables:  2
12:24:03,0.0001471,max run fail:  3
12:24:03,0.0001182,'opt_chance_points' = SINGLE, evaluating chance at representative point
12:24:03,0.0001184,initializing constraints
12:24:03,0.0022421,using particle swarm generator
12:24:03,0.0023126,drawing initial dv population of size:  50
12:24:03,0.0002786,checking for denormal values in dv population
12:24:03,0.0028537, saved initial dv population to  kur.0.dv_pop.csv
12:24:03,2.58e-05,running initial population
12:24:03,0.0001345,running initial population of size 50
12:24:03,0.008453,running population of size  50
12:24:03,3.97e-05,queuing 50 runs
12:24:03,0.0034001,making runs
12:24:14,11.1953,processing runs
12:24:14,0.0128894, saved observation population to  kur.0.obs_pop.csv
12:24:14,0.0002313,initial population decision variable summary:
12:24:14,0.0005442,initial population objective function summary:
12:24:14,0.0002749,using member GEN=0_MEMBER=18 as nearest-to-mean single point
    with distance of 1.21241 from mean of decision variable population
12:24:14,0.0049514, saved initial dv population to  kur.0.dv_pop.csv
12:24:14,0.0002077,performing initial pareto dominance sort
12:24:14,0.005863,ParetoObjectives::get_nsga2_pareto_dominance() for 50 population members
12:24:14,8.67e-05,ParetoObjectives::update() for  50 population members
12:24:14,3.64e-05,preparing fast-lookup containers
12:24:14,0.0009476,checking for duplicate solutions
12:24:14,0.0010806,calculating fitness
12:24:14,5.43e-05,get_spea_fitness
12:24:14,0.0003053,fill domination containers
12:24:14,0.0019896,pareto front sorting
12:24:14,6.57e-05,starting 'fast non-dom sort
12:24:14,3.56e-05,fill domination containers
12:24:14,0.0023488,finding first front
12:24:14,4.11e-05,sorting remaining fronts
12:24:14,0.0037215,kur.0.dv_pop.csvinitialized archives with 7 nondominated members
12:24:14,2.52e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 7 population members
12:24:14,1.45e-05,ParetoObjectives::update() for  7 population members
12:24:14,1.13e-05,preparing fast-lookup containers
12:24:14,4.94e-05,checking for duplicate solutions
12:24:14,3.25e-05,calculating fitness
12:24:14,1.17e-05,get_spea_fitness
12:24:14,2.2e-05,fill domination containers
12:24:14,3.58e-05,pareto front sorting
