generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=36,-8.25389,4.89543,1,1e+30,0.101596,0.101596,1,-999
0,gen=0_member=12,-4.44025,-5.65174,1,1e+30,0.209812,0.209812,1,-999
0,gen=0_member=31,-7.47039,0.199689,1,1.03878,0.193233,0.193233,1,-999
0,gen=0_member=43,-5.20539,-4.20512,1,0.702275,0.274989,0.274989,1,-999
0,gen=0_member=27,-6.41989,-3.7197,1,0.556134,0.323301,0.323301,1,-999
0,gen=0_member=18,-7.0972,-2.86174,1,0.455417,0.323301,0.323301,1,-999
0,gen=0_member=34,-6.86025,-2.91623,1,0.258948,0.342908,0.342908,1,-999
1,gen=0_member=36,-8.25389,4.89543,2,1e+30,0.147915,0.147915,1,-999
1,gen=0_member=12,-4.44025,-5.65174,1,1e+30,0.274989,0.274989,1,-999
1,gen=0_member=31,-7.47039,0.199689,2,2,0.251297,0.251297,1,-999
1,gen=0_member=43,-5.20539,-4.20512,2,1e+30,0.302305,0.302305,1,-999
1,gen=0_member=27,-6.41989,-3.7197,1,0.594828,0.302305,0.302305,1,-999
1,gen=0_member=18,-7.0972,-2.86174,1,0.528047,0.259279,0.259279,1,-999
1,gen=0_member=34,-6.86025,-2.91623,1,0.27176,0.245922,0.245922,1,-999
1,gen=1_member=69_pso,-9.38009,0.720153,1,1e+30,3.22402,3.22402,1,-999
1,gen=1_member=56_pso,-8.40308,-1.54167,1,0.984355,4.24592,4.24592,1,-999
1,gen=1_member=62_pso,-5.47865,-4.92429,1,0.610648,1.30601,1.30601,1,-999
1,gen=1_member=53_pso,-9.20381,0.693153,1,0.552749,3.22863,3.22863,1,-999
1,gen=1_member=70_pso,-4.63367,-5.30665,1,0.324376,0.308541,0.308541,1,-999
2,gen=1_member=69_pso,-9.38009,0.720153,2,1e+30,0.34438,0.34438,1,-999
2,gen=0_member=12,-4.44025,-5.65174,1,1e+30,0.273622,0.273622,1,-999
