generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=0,-4.90429,1.9407,5,1.63401,622.202,622.202,1,-999
0,gen=0_member=1,-3.54663,11.3938,9,1.14204,0.19905,0.19905,1,-999
0,gen=0_member=2,-3.7117,3.18654,6,0.837306,417.221,417.221,1,-999
0,gen=0_member=3,-4.13427,-1.33481,5,1e+30,489.238,489.238,1,-999
0,gen=0_member=4,-4.13952,8.08144,7,1.09846,149.293,149.293,1,-999
0,gen=0_member=5,-3.5037,6.82249,9,1.56511,146.342,146.342,1,-999
0,gen=0_member=6,-4.67329,8.58763,6,0.814516,172.268,172.268,1,-999
0,gen=0_member=7,-4.7646,9.05352,7,1e+30,172.261,172.261,1,-999
0,gen=0_member=8,-5.40218,-2.00691,3,1.02493,672.257,672.257,1,-999
0,gen=0_member=9,-3.34291,7.89165,10,0.990208,42.2986,42.2986,1,-999
0,gen=0_member=10,-5.62934,8.7307,6,1e+30,192.225,192.225,1,-999
0,gen=0_member=11,-6.0261,1.33325,3,0.940985,693.201,693.201,1,-999
0,gen=0_member=12,-4.44025,-5.65174,1,1e+30,567.173,567.173,1,-999
0,gen=0_member=13,-3.53221,-1.02469,6,1e+30,320.205,320.205,1,-999
0,gen=0_member=14,-4.04878,7.46884,8,1.35757,216.305,216.305,1,-999
0,gen=0_member=15,-5.7367,5.92248,4,0.831636,565.249,565.249,1,-999
0,gen=0_member=16,-2.99967,5.94277,9,1e+30,65.2866,65.2866,1,-999
0,gen=0_member=17,-2.82441,6.81216,10,1.00979,0.312739,0.312739,1,-999
0,gen=0_member=18,-7.0972,-2.86174,1,0.455417,757.231,757.231,1,-999
0,gen=0_member=19,-3.88602,4.13459,7,1e+30,417.244,417.244,1,-999
0,gen=0_member=20,-5.63982,4.79084,5,1e+30,565.262,565.262,1,-999
0,gen=0_member=21,-3.57041,6.56165,8,0.513932,244.336,244.336,1,-999
0,gen=0_member=22,-4.28775,3.62895,6,0.668216,509.224,509.224,1,-999
0,gen=0_member=23,-2.72927,6.5352,10,1e+30,0.286632,0.286632,1,-999
0,gen=0_member=24,-3.52757,6.19519,8,0.642428,241.318,241.318,1,-999
0,gen=0_member=25,-5.62195,-2.34017,2,1.07709,676.278,676.278,1,-999
0,gen=0_member=26,-4.51411,12.1518,8,1e+30,35.1796,35.1796,1,-999
0,gen=0_member=27,-6.41989,-3.7197,1,0.556134,757.222,757.222,1,-999
0,gen=0_member=28,-4.46911,6.18193,6,0.692145,440.287,440.287,1,-999
0,gen=0_member=29,-6.78901,5.28295,2,1e+30,598.223,598.223,1,-999
0,gen=0_member=30,-3.01771,4.46163,8,1e+30,94.2397,94.2397,1,-999
0,gen=0_member=31,-7.47039,0.199689,1,1.03878,714.196,714.196,1,-999
0,gen=0_member=32,-5.28988,3.97274,5,0.953831,591.25,591.25,1,-999
0,gen=0_member=33,-3.09737,11.2191,11,-999,0.197346,0.197346,1,-999
0,gen=0_member=34,-6.86025,-2.91623,1,0.258948,757.244,757.244,1,-999
0,gen=0_member=35,-4.50157,-1.69423,4,1e+30,582.252,582.252,1,-999
0,gen=0_member=36,-8.25389,4.89543,1,1e+30,602.167,602.167,1,-999
0,gen=0_member=37,-3.19252,7.69244,10,1.06431,42.3133,42.3133,1,-999
0,gen=0_member=38,-3.43514,9.80882,10,1e+30,42.2421,42.2421,1,-999
0,gen=0_member=39,-6.30263,5.62045,3,0.595312,586.245,586.245,1,-999
0,gen=0_member=40,-6.23819,-1.99497,2,1.20335,731.266,731.266,1,-999
0,gen=0_member=41,-3.23621,-3.20272,3,1e+30,192.22,192.22,1,-999
0,gen=0_member=42,-3.68645,13.034,9,1e+30,0.152566,0.152566,1,-999
0,gen=0_member=43,-5.20539,-4.20512,1,0.702275,666.238,666.238,1,-999
0,gen=0_member=44,-5.65471,1.57767,4,1.58858,665.205,665.205,1,-999
0,gen=0_member=45,-5.74886,-1.30151,3,0.569893,695.246,695.246,1,-999
0,gen=0_member=46,-5.78267,10.503,4,1e+30,135.209,135.209,1,-999
0,gen=0_member=47,-4.29556,-5.08442,2,1e+30,566.187,566.187,1,-999
0,gen=0_member=48,-6.31594,5.89108,3,1e+30,586.239,586.239,1,-999
0,gen=0_member=49,-4.13812,7.15775,7,1.09091,242.324,242.324,1,-999
1,gen=1_member=50_pso,-3.66039,-0.27882,7,0.492052,1073.27,1073.27,1,-999
1,gen=1_member=51_pso,-4.13547,2.24208,8,0.796816,1423.27,1423.27,1,-999
1,gen=1_member=52_pso,-4.48442,4.8724,9,1.18738,1354.29,1354.29,1,-999
1,gen=1_member=53_pso,-9.20381,0.693153,1,0.552749,2583.18,2583.18,1,-999
1,gen=1_member=54_pso,-3.91153,2.58106,9,1e+30,1207.28,1207.28,1,-999
1,gen=1_member=55_pso,-5.725,-2.71638,2,0.512211,2694.3,2694.3,1,-999
1,gen=1_member=56_pso,-8.40308,-1.54167,1,0.984355,2760.21,2760.21,1,-999
1,gen=1_member=57_pso,-3.64798,0.469082,8,1e+30,1043.25,1043.25,1,-999
1,gen=1_member=58_pso,-5.30607,11.0394,10,0.589853,385.236,385.236,1,-999
1,gen=1_member=59_pso,-4.9761,7.78787,10,0.267849,884.328,884.328,1,-999
1,gen=1_member=60_pso,-4.12855,8.84311,12,0.567145,409.296,409.296,1,-999
1,gen=1_member=61_pso,-4.94514,3.18893,7,1.09017,1930.31,1930.31,1,-999
1,gen=1_member=62_pso,-5.47865,-4.92429,1,0.610648,2589.23,2589.23,1,-999
1,gen=1_member=63_pso,-8.49376,3.21816,2,1e+30,2311.19,2311.19,1,-999
1,gen=1_member=64_pso,-5.64873,-1.5277,3,0.153552,2577.3,2577.3,1,-999
1,gen=1_member=65_pso,-4.76463,7.61277,10,0.486823,957.327,957.327,1,-999
1,gen=1_member=66_pso,-4.22343,4.72606,9,0.706098,1309.29,1309.29,1,-999
1,gen=1_member=67_pso,-5.43849,11.4982,10,1e+30,216.229,216.229,1,-999
1,gen=1_member=68_pso,-7.26988,-0.580608,2,0.557842,2667.24,2667.24,1,-999
1,gen=1_member=69_pso,-9.38009,0.720153,1,1e+30,2583.17,2583.17,1,-999
1,gen=1_member=70_pso,-4.63367,-5.30665,1,0.324376,2097.21,2097.21,1,-999
1,gen=1_member=71_pso,-4.84935,-0.470898,6,0.515359,2096.29,2096.29,1,-999
