real_name,obj1,obj2
gen=20_member=400_pso,13.1675,22.7623
gen=20_member=401_pso,26.2616,16.2261
gen=20_member=402_pso,43.8539,2.45344
gen=20_member=403_pso,14.545,11.5711
gen=20_member=404_pso,4.44974,39.9184
gen=20_member=405_pso,1.58768,28.4177
gen=20_member=406_pso,6.06016,7.00456
gen=20_member=407_pso,1.10225,26.7274
gen=20_member=408_pso,4.02218,5.53466
gen=20_member=409_pso,6.28189,1.05406
gen=20_member=410_pso,39.1741,10.8725
gen=20_member=411_pso,6.05008,11.8818
gen=20_member=412_pso,2.56532,2.29125
gen=20_member=413_pso,5.33878,33.5397
gen=20_member=414_pso,9.6519,12.9777
gen=20_member=415_pso,3.97628,1.60013
gen=20_member=416_pso,13.7869,0.0654425
gen=20_member=417_pso,15.7704,0.114553
gen=20_member=418_pso,2.22362,3.67956
gen=20_member=419_pso,14.432,0.0343259
