real_name,x1,x2
gen=40_member=800_pso,-0.211441,2.37896
gen=40_member=801_pso,-3.14159,0.519271
gen=40_member=802_pso,-1.501,2.74852
gen=40_member=803_pso,1.00246,1.40087
gen=40_member=804_pso,-3.14083,-0.00887458
gen=40_member=805_pso,-3.14159,1.57176
gen=40_member=806_pso,-3.10559,-1.23177
gen=40_member=807_pso,3.14159,3.03546
gen=40_member=808_pso,-3.14159,0.487957
gen=40_member=809_pso,1.88496,2.16708
gen=40_member=810_pso,-3.14159,2.14033
gen=40_member=811_pso,-3.14159,-0.952285
gen=40_member=812_pso,1.88496,2.55387
gen=40_member=813_pso,-1.60298,3.14159
gen=40_member=814_pso,-3.14159,-0.066426
gen=40_member=815_pso,1.05916,-0.888741
gen=40_member=816_pso,0.692255,1.87669
gen=40_member=817_pso,-3.14159,1.32217
gen=40_member=818_pso,1.26849,1.32564
gen=40_member=819_pso,-3.14159,-1.33457
