real_name,x1,x2
gen=2_member=53_pso,-3.11286,-0.988144
gen=56_member=1120_pso,0.992632,1.98265
gen=60_member=1207_pso,0.946925,1.48484
gen=28_member=579_pso,-3.14159,0.761649
gen=41_member=829_pso,1.0531,1.43119
gen=58_member=1160_pso,0.997941,1.70727
gen=4_member=99_pso,0.897841,1.89665
gen=4_member=97_pso,0.992632,1.95498
gen=41_member=831_pso,-3.14159,-0.120839
gen=6_member=139_pso,-3.14159,-0.666068
gen=17_member=357_pso,-3.14159,-0.749185
gen=6_member=126_pso,-3.14159,-0.311498
gen=52_member=1048_pso,-3.14159,-0.0565062
gen=2_member=40_pso,-3.14159,-0.254888
gen=59_member=1190_pso,-3.14159,-0.583822
gen=59_member=1196_pso,-3.14159,-0.522935
gen=33_member=663_pso,-3.14159,-0.209763
gen=30_member=615_pso,-3.14159,0.175746
gen=16_member=331_pso,-3.14159,0.235712
gen=57_member=1145_pso,-3.14159,-0.475314
gen=25_member=506_pso,-3.14159,0.614445
gen=47_member=956_pso,-3.14159,-0.893458
gen=10_member=217_pso,-3.14159,-0.129004
gen=17_member=358_pso,-3.14159,0.00598731
gen=43_member=865_pso,-3.14159,-0.396555
gen=25_member=508_pso,-3.14159,-0.352495
gen=32_member=644_pso,-3.14159,0.0222765
gen=24_member=499_pso,-3.14159,-0.636084
gen=45_member=919_pso,-3.14159,-0.169384
gen=50_member=1005_pso,-3.14159,0.330661
gen=13_member=261_pso,-3.14159,0.0643112
gen=34_member=689_pso,-3.14159,-0.286455
gen=28_member=577_pso,-3.14159,-0.0329969
gen=60_member=1211_pso,-3.14159,0.557649
gen=36_member=725_pso,-3.14159,-0.20009
gen=46_member=926_pso,-3.14159,-0.830927
gen=16_member=335_pso,-3.14159,-0.43607
gen=4_member=93_pso,-3.14159,0.701302
gen=7_member=144_pso,-3.14159,0.296905
gen=26_member=526_pso,-3.14159,0.145111
gen=27_member=551_pso,-3.14159,-0.924207
gen=6_member=137_pso,0.780252,1.78255
gen=46_member=928_pso,-3.14159,-0.270822
gen=3_member=75_pso,-3.14159,-0.171416
gen=53_member=1075_pso,-3.11655,-0.945808
gen=6_member=135_pso,-3.14159,0.131939
gen=55_member=1104_pso,-3.14159,0.356941
gen=30_member=618_pso,-3.14159,-0.373824
gen=54_member=1097_pso,-3.13405,-0.948507
gen=37_member=750_pso,-3.14159,0.171217
gen=24_member=490_pso,-3.14159,0.407628
gen=18_member=364_pso,-3.14159,0.491454
gen=6_member=130_pso,-3.14159,-0.456798
gen=35_member=704_pso,-3.14159,0.0860304
gen=5_member=119_pso,-3.14159,0.112279
gen=29_member=584_pso,-3.14159,-0.792147
gen=5_member=108_pso,-3.14159,0.448048
gen=3_member=63_pso,-3.14159,0.446444
gen=44_member=887_pso,-3.14159,0.10437
gen=34_member=693_pso,-3.14159,-0.0359177
gen=4_member=87_pso,-3.14159,0.402594
gen=10_member=215_pso,-3.14159,-0.65203
gen=59_member=1185_pso,0.996215,1.44234
gen=8_member=176_pso,-3.14159,-0.56234
gen=5_member=106_pso,-3.14159,-0.0562521
gen=34_member=691_pso,-3.14159,0.371855
gen=22_member=444_pso,-3.14159,-0.43677
gen=19_member=395_pso,-3.14159,-0.540515
gen=4_member=91_pso,-3.14159,-0.564424
gen=13_member=275_pso,-3.14159,0.521402
gen=21_member=432_pso,-3.14159,-0.986611
gen=46_member=925_pso,-3.14159,0.283101
gen=35_member=708_pso,-3.14159,-0.762218
gen=41_member=828_pso,-3.14159,-0.540067
gen=5_member=118_pso,-3.14159,-0.813569
gen=12_member=248_pso,-3.14159,-0.359148
gen=14_member=293_pso,-3.14159,0.0167185
gen=23_member=461_pso,-3.14159,0.0768954
gen=59_member=1188_pso,-3.14159,0.273926
gen=18_member=378_pso,-3.14159,-0.386318
gen=37_member=756_pso,-3.14159,0.249497
gen=9_member=192_pso,-3.14159,0.738785
gen=3_member=67_pso,-3.14159,-0.638009
gen=33_member=675_pso,-3.14159,-0.774693
gen=20_member=415_pso,-3.14159,0.257014
gen=34_member=694_pso,-3.14159,0.240352
gen=48_member=973_pso,-3.14159,-0.465691
gen=5_member=110_pso,-3.14159,0.3709
gen=9_member=191_pso,-3.14159,0.0701661
gen=39_member=791_pso,-3.14159,-0.388069
gen=26_member=533_pso,-3.14159,-0.464228
gen=1_member=35_pso,-3.14159,-0.77403
gen=59_member=1193_pso,-3.14159,-0.82314
gen=43_member=871_pso,-3.14159,0.264487
gen=5_member=101_pso,-3.14159,0.519271
gen=13_member=272_pso,-3.14159,-0.357967
gen=47_member=955_pso,-3.14159,0.496374
gen=20_member=412_pso,-3.14159,0.507052
gen=22_member=446_pso,-3.14159,-0.817454
gen=25_member=517_pso,-3.14159,0.264334
gen=33_member=665_pso,-3.14159,0.0662486
gen=11_member=233_pso,-3.14159,0.50406
gen=11_member=226_pso,-3.14159,0.759669
gen=6_member=132_pso,-3.14159,-0.387492
gen=26_member=536_pso,-3.14159,0.50633
