real_name,x1,x2
gen=100_member=2000_pso,-3.08103,-1.44122
gen=100_member=2001_pso,-2.83255,-1.36461
gen=100_member=2002_pso,-1.77289,1.85017
gen=100_member=2003_pso,0.801964,2.12132
gen=100_member=2004_pso,-1.4836,0.542685
gen=100_member=2005_pso,-3.09758,-1.58458
gen=100_member=2006_pso,0.192093,0.086512
gen=100_member=2007_pso,-3.14159,-0.877397
gen=100_member=2008_pso,-3.14159,0.133158
gen=100_member=2009_pso,0.762561,-1.35557
gen=100_member=2010_pso,-3.14159,-1.5745
gen=100_member=2011_pso,-3.14159,0.248078
gen=100_member=2012_pso,-3.14159,-1.13568
gen=100_member=2013_pso,0.850147,1.95527
gen=100_member=2014_pso,1.28135,-0.425557
gen=100_member=2015_pso,-1.12074,1.83789
gen=100_member=2016_pso,-3.14159,-0.368617
gen=100_member=2017_pso,-1.74762,1.80622
gen=100_member=2018_pso,-3.14159,1.07465
gen=100_member=2019_pso,-3.09418,-1.27785
