child,parent_1,parent_2,parent_3
GEN=1_MEMBER=20_PSO,GEN=0_MEMBER=7,,
GEN=1_MEMBER=21_PSO,GEN=0_MEMBER=4,,
GEN=1_MEMBER=22_PSO,GEN=0_MEMBER=16,,
GEN=1_MEMBER=23_PSO,GEN=0_MEMBER=10,,
GEN=1_MEMBER=24_PSO,GEN=0_MEMBER=9,,
GEN=1_MEMBER=25_PSO,GEN=0_MEMBER=0,,
GEN=1_MEMBER=26_PSO,GEN=0_MEMBER=5,,
GEN=1_MEMBER=27_PSO,GEN=0_MEMBER=8,,
GEN=1_MEMBER=28_PSO,GEN=0_MEMBER=13,,
GEN=1_MEMBER=29_PSO,GEN=0_MEMBER=1,,
GEN=1_MEMBER=30_PSO,GEN=0_MEMBER=17,,
GEN=1_MEMBER=31_PSO,GEN=0_MEMBER=14,,
GEN=1_MEMBER=32_PSO,GEN=0_MEMBER=6,,
GEN=1_MEMBER=33_PSO,GEN=0_MEMBER=3,,
GEN=1_MEMBER=34_PSO,GEN=0_MEMBER=2,,
GEN=1_MEMBER=35_PSO,GEN=0_MEMBER=11,,
GEN=1_MEMBER=36_PSO,GEN=0_MEMBER=19,,
GEN=1_MEMBER=37_PSO,GEN=0_MEMBER=12,,
GEN=1_MEMBER=38_PSO,GEN=0_MEMBER=18,,
GEN=1_MEMBER=39_PSO,GEN=0_MEMBER=15,,
GEN=2_MEMBER=40_PSO,GEN=1_MEMBER=35_PSO,,
GEN=2_MEMBER=41_PSO,GEN=0_MEMBER=7,,
GEN=2_MEMBER=42_PSO,GEN=1_MEMBER=25_PSO,,
GEN=2_MEMBER=43_PSO,GEN=0_MEMBER=16,,
GEN=2_MEMBER=44_PSO,GEN=1_MEMBER=30_PSO,,
GEN=2_MEMBER=45_PSO,GEN=0_MEMBER=9,,
GEN=2_MEMBER=46_PSO,GEN=0_MEMBER=4,,
GEN=2_MEMBER=47_PSO,GEN=1_MEMBER=20_PSO,,
GEN=2_MEMBER=48_PSO,GEN=1_MEMBER=28_PSO,,
GEN=2_MEMBER=49_PSO,GEN=1_MEMBER=34_PSO,,
GEN=2_MEMBER=50_PSO,GEN=0_MEMBER=1,,
GEN=2_MEMBER=51_PSO,GEN=1_MEMBER=38_PSO,,
GEN=2_MEMBER=52_PSO,GEN=0_MEMBER=13,,
GEN=2_MEMBER=53_PSO,GEN=1_MEMBER=22_PSO,,
GEN=2_MEMBER=54_PSO,GEN=0_MEMBER=0,,
GEN=2_MEMBER=55_PSO,GEN=0_MEMBER=17,,
GEN=2_MEMBER=56_PSO,GEN=0_MEMBER=10,,
GEN=2_MEMBER=57_PSO,GEN=0_MEMBER=8,,
GEN=2_MEMBER=58_PSO,GEN=1_MEMBER=29_PSO,,
GEN=2_MEMBER=59_PSO,GEN=1_MEMBER=24_PSO,,
GEN=3_MEMBER=60_PSO,GEN=2_MEMBER=53_PSO,,
GEN=3_MEMBER=61_PSO,GEN=0_MEMBER=7,,
GEN=3_MEMBER=62_PSO,GEN=1_MEMBER=25_PSO,,
GEN=3_MEMBER=63_PSO,GEN=2_MEMBER=40_PSO,,
GEN=3_MEMBER=64_PSO,GEN=1_MEMBER=35_PSO,,
GEN=3_MEMBER=65_PSO,GEN=1_MEMBER=30_PSO,,
GEN=3_MEMBER=66_PSO,GEN=0_MEMBER=16,,
GEN=3_MEMBER=67_PSO,GEN=2_MEMBER=48_PSO,,
GEN=3_MEMBER=68_PSO,GEN=0_MEMBER=9,,
GEN=3_MEMBER=69_PSO,GEN=2_MEMBER=47_PSO,,
GEN=3_MEMBER=70_PSO,GEN=0_MEMBER=1,,
GEN=3_MEMBER=71_PSO,GEN=1_MEMBER=20_PSO,,
GEN=3_MEMBER=72_PSO,GEN=2_MEMBER=56_PSO,,
GEN=3_MEMBER=73_PSO,GEN=2_MEMBER=51_PSO,,
GEN=3_MEMBER=74_PSO,GEN=2_MEMBER=54_PSO,,
GEN=3_MEMBER=75_PSO,GEN=1_MEMBER=28_PSO,,
GEN=3_MEMBER=76_PSO,GEN=2_MEMBER=59_PSO,,
GEN=3_MEMBER=77_PSO,GEN=2_MEMBER=52_PSO,,
GEN=3_MEMBER=78_PSO,GEN=0_MEMBER=13,,
GEN=3_MEMBER=79_PSO,GEN=2_MEMBER=42_PSO,,
GEN=4_MEMBER=80_PSO,GEN=3_MEMBER=74_PSO,,
GEN=4_MEMBER=81_PSO,GEN=2_MEMBER=53_PSO,,
GEN=4_MEMBER=82_PSO,GEN=0_MEMBER=7,,
GEN=4_MEMBER=83_PSO,GEN=1_MEMBER=25_PSO,,
GEN=4_MEMBER=84_PSO,GEN=3_MEMBER=67_PSO,,
GEN=4_MEMBER=85_PSO,GEN=2_MEMBER=40_PSO,,
GEN=4_MEMBER=86_PSO,GEN=3_MEMBER=63_PSO,,
GEN=4_MEMBER=87_PSO,GEN=1_MEMBER=30_PSO,,
GEN=4_MEMBER=88_PSO,GEN=1_MEMBER=35_PSO,,
GEN=4_MEMBER=89_PSO,GEN=3_MEMBER=75_PSO,,
GEN=4_MEMBER=90_PSO,GEN=0_MEMBER=16,,
GEN=4_MEMBER=91_PSO,GEN=2_MEMBER=48_PSO,,
GEN=4_MEMBER=92_PSO,GEN=0_MEMBER=9,,
GEN=4_MEMBER=93_PSO,GEN=3_MEMBER=61_PSO,,
