time,elapsed_seconds,message
10:16:29,9.7e-05,PEST++ performance logger started
10:16:29,0.0008319,starting to process control file
10:16:29,0.0064017,finished processing control file
10:16:29,0.0106275,initializing MOEA process
10:16:29,0.0006452,using 'nsga2' env selector
10:16:29,0.0001866,using binary tournament mating pool selector
10:16:29,0.0001599,saving generation specific populations and archives every nth generation 20
10:16:29,0.0001437,'opt_dec_var_groups' passed, using 2 adjustable parameters as decision variables
10:16:29,0.0001836,number of decision variables:  2
10:16:29,0.0001546,max run fail:  3
10:16:29,0.0001604,'opt_chance_points' = SINGLE, evaluating chance at representative point
10:16:29,0.0001549,initializing constraints
10:16:29,0.0011957,using particle swarm generator
10:16:29,0.0015779,drawing initial dv population of size:  20
10:16:29,0.0002454,checking for denormal values in dv population
10:16:29,0.0019177, saved initial dv population to  pol.0.dv_pop.csv
10:16:29,1.73e-05,running initial population
10:16:29,9.06e-05,running initial population of size 20
10:16:29,0.0028776,running population of size  20
10:16:29,1.47e-05,queuing 20 runs
10:16:29,0.0015252,making runs
10:16:39,10.6603,processing runs
10:16:39,0.0089226, saved observation population to  pol.0.obs_pop.csv
10:16:39,0.0001442,initial population decision variable summary:
10:16:39,0.0002316,initial population objective function summary:
10:16:39,0.0002835,using member GEN=0_MEMBER=15 as nearest-to-mean single point
    with distance of 0.465348 from mean of decision variable population
10:16:39,0.0033312, saved initial dv population to  pol.0.dv_pop.csv
10:16:39,0.0003663,performing initial pareto dominance sort
10:16:39,0.005934,ParetoObjectives::get_nsga2_pareto_dominance() for 20 population members
10:16:39,8.42e-05,ParetoObjectives::update() for  20 population members
10:16:39,3.62e-05,preparing fast-lookup containers
10:16:39,0.0003047,checking for duplicate solutions
10:16:39,0.0002256,calculating fitness
10:16:39,8.89e-05,get_spea_fitness
10:16:39,0.0002437,fill domination containers
10:16:39,0.0005418,pareto front sorting
10:16:39,5.56e-05,starting 'fast non-dom sort
10:16:39,3.27e-05,fill domination containers
10:16:39,0.0003228,finding first front
10:16:39,3.47e-05,sorting remaining fronts
10:16:39,0.0034614,pol.0.dv_pop.csvinitialized archives with 4 nondominated members
10:16:39,4.91e-05,ParetoObjectives::get_nsga2_pareto_dominance() for 4 population members
10:16:39,3.35e-05,ParetoObjectives::update() for  4 population members
10:16:39,2.83e-05,preparing fast-lookup containers
10:16:39,7.09e-05,checking for duplicate solutions
10:16:39,5.47e-05,calculating fitness
10:16:39,2.91e-05,get_spea_fitness
10:16:39,4.4e-05,fill domination containers
10:16:39,5.57e-05,pareto front sorting
10:16:39,2.95e-05,starting 'fast non-dom sort
10:16:39,3.29e-05,fill domination containers
10:16:39,4.05e-05,finding first front
10:16:39,2.93e-05,sorting remaining fronts
10:16:39,0.0009263,ParetoObjectives::get_nsga2_pareto_dominance() for 4 population members
10:16:39,4.01e-05,ParetoObjectives::update() for  4 population members
10:16:39,2.88e-05,preparing fast-lookup containers
10:16:39,5.76e-05,checking for duplicate solutions
10:16:39,4.58e-05,calculating fitness
