real_name,obj1,obj2
gen=100_member=2000_pso,16.1332,0.201241
gen=100_member=2001_pso,19.7599,0.160979
gen=100_member=2002_pso,5.00025,9.62926
gen=100_member=2003_pso,1.23156,24.1976
gen=100_member=2004_pso,20.2319,4.67935
gen=100_member=2005_pso,15.5195,0.351255
gen=100_member=2006_pso,32.4238,11.37
gen=100_member=2007_pso,14.3672,0.03508
gen=100_member=2008_pso,4.96673,1.3041
gen=100_member=2009_pso,31.919,14.2833
gen=100_member=2010_pso,15.0552,0.350095
gen=100_member=2011_pso,4.04196,1.57775
gen=100_member=2012_pso,15.4057,0.0384587
gen=100_member=2013_pso,1.16518,23.5573
gen=100_member=2014_pso,16.811,18.66
gen=100_member=2015_pso,7.81123,11.5852
gen=100_member=2016_pso,10.0189,0.418694
gen=100_member=2017_pso,5.04646,9.44333
gen=100_member=2018_pso,2.72041,4.32424
gen=100_member=2019_pso,16.1384,0.0860688
