generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=0,23.5588,1.09304,2,1e+30,33.0784,33.0784,1,-999
0,gen=0_member=1,11.3643,1.73623,2,0.517851,45.0706,45.0706,1,-999
0,gen=0_member=2,30.619,4.08616,4,1e+30,22.1034,22.1034,1,-999
0,gen=0_member=3,14.2147,13.559,4,1e+30,5.0725,5.0725,1,-999
0,gen=0_member=4,29.3507,0.45771,1,1e+30,28.0913,28.0913,1,-999
0,gen=0_member=5,6.38081,23.6904,2,0.945327,9.09731,9.09731,1,-999
0,gen=0_member=6,10.1154,24.4736,3,2,0.0936766,0.0936766,1,-999
0,gen=0_member=7,1.71533,22.3066,1,1e+30,12.0807,12.0807,1,-999
0,gen=0_member=8,9.39743,15.3115,2,0.820874,5.08936,5.08936,1,-999
0,gen=0_member=9,2.65427,38.7836,2,1e+30,0.0540432,0.0540432,1,-999
0,gen=0_member=10,4.50472,21.6963,1,1.15461,11.0996,11.0996,1,-999
0,gen=0_member=11,27.9363,7.75048,4,2,8.10032,8.10032,1,-999
0,gen=0_member=12,56.2656,5.33583,5,1e+30,0.0340676,0.0340676,1,-999
0,gen=0_member=13,12.553,1.48285,2,0.60041,45.0768,45.0768,1,-999
0,gen=0_member=14,7.2657,31.9199,3,1e+30,0.0794294,0.0794294,1,-999
0,gen=0_member=15,54.0613,7.1064,5,0.915952,0.0362458,0.0362458,1,-999
0,gen=0_member=16,6.63302,0.967694,1,1.87113,58.0602,58.0602,1,-999
0,gen=0_member=17,12.8305,1.84782,3,1e+30,42.0784,42.0784,1,-999
0,gen=0_member=18,34.3703,7.86426,5,1.73744,0.067765,0.067765,1,-999
0,gen=0_member=19,21.6127,14.2354,5,1e+30,0.0654207,0.0654207,1,-999
1,gen=1_member=20_pso,3.23384,20.3416,2,0.688955,81.1017,81.1017,1,-999
1,gen=1_member=21_pso,16.1939,19.9222,6,1.95968,0.104235,0.104235,1,-999
1,gen=1_member=22_pso,4.38139,28.7307,3,1e+30,36.1094,36.1094,1,-999
1,gen=1_member=23_pso,39.6622,9.44945,6,1e+30,0.060283,0.060283,1,-999
1,gen=1_member=24_pso,36.7719,1.37566,4,1e+30,38.0657,38.0657,1,-999
1,gen=1_member=25_pso,2.51483,4.01025,1,1.29952,230.075,230.075,1,-999
1,gen=1_member=26_pso,11.2715,24.9115,6,0.524613,0.109545,0.109545,1,-999
1,gen=1_member=27_pso,6.58065,38.22,5,1e+30,0.0643094,0.0643094,1,-999
1,gen=1_member=28_pso,14.5638,0.508226,2,0.655959,115.094,115.094,1,-999
1,gen=1_member=29_pso,9.04117,15.8229,3,0.486148,74.1136,74.1136,1,-999
1,gen=1_member=30_pso,5.96487,1.29826,1,0.48058,236.102,236.102,1,-999
1,gen=1_member=31_pso,11.0335,25.4227,6,1e+30,0.106054,0.106054,1,-999
1,gen=1_member=32_pso,14.3987,18.8718,5,0.488538,15.1117,15.1117,1,-999
1,gen=1_member=33_pso,9.56359,31.8325,5,0.283795,0.109545,0.109545,1,-999
1,gen=1_member=34_pso,7.84205,14.0083,2,0.603946,104.102,104.102,1,-999
1,gen=1_member=35_pso,13.6956,0.0711109,1,1e+30,143.102,143.102,1,-999
1,gen=1_member=36_pso,14.4643,11.7146,4,0.711799,37.1092,37.1092,1,-999
1,gen=1_member=37_pso,20.2516,15.1171,5,0.286186,0.0790809,0.0790809,1,-999
1,gen=1_member=38_pso,6.83403,18.3793,2,0.337865,83.1364,83.1364,1,-999
1,gen=1_member=39_pso,6.7335,35.9525,5,0.205374,0.0747725,0.0747725,1,-999
1,gen=0_member=7,1.71533,22.3066,1,1e+30,81.0937,81.0937,1,-999
1,gen=0_member=4,29.3507,0.45771,2,1e+30,66.0638,66.0638,1,-999
1,gen=0_member=16,6.63302,0.967694,1,0.700478,227.11,227.11,1,-999
1,gen=0_member=10,4.50472,21.6963,3,0.710018,76.1107,76.1107,1,-999
1,gen=0_member=9,2.65427,38.7836,2,1e+30,0.0569915,0.0569915,1,-999
1,gen=0_member=0,23.5588,1.09304,3,1e+30,75.0784,75.0784,1,-999
1,gen=0_member=5,6.38081,23.6904,4,1e+30,71.142,71.142,1,-999
1,gen=0_member=8,9.39743,15.3115,3,0.703245,74.1217,74.1217,1,-999
1,gen=0_member=13,12.553,1.48285,2,0.151889,136.116,136.116,1,-999
1,gen=0_member=1,11.3643,1.73623,2,0.503278,136.135,136.135,1,-999
1,gen=0_member=17,12.8305,1.84782,3,1.2529,132.113,132.113,1,-999
1,gen=0_member=14,7.2657,31.9199,5,0.182249,0.100271,0.100271,1,-999
1,gen=0_member=6,10.1154,24.4736,5,0.491448,24.1105,24.1105,1,-999
1,gen=0_member=3,14.2147,13.559,4,0.802658,49.1192,49.1192,1,-999
1,gen=0_member=2,30.619,4.08616,4,0.576409,50.0799,50.0799,1,-999
1,gen=0_member=11,27.9363,7.75048,4,0.873416,26.0791,26.0791,1,-999
1,gen=0_member=19,21.6127,14.2354,5,0.504722,0.0904345,0.0904345,1,-999
1,gen=0_member=12,56.2656,5.33583,5,1e+30,0.0340676,0.0340676,1,-999
1,gen=0_member=18,34.3703,7.86426,5,0.869879,14.0678,14.0678,1,-999
1,gen=0_member=15,54.0613,7.1064,5,0.517571,0.0362458,0.0362458,1,-999
2,gen=2_member=40_pso,8.82278,0.575241,1,0.561328,139.161,139.161,1,-999
2,gen=2_member=41_pso,6.95902,8.87576,3,0.181767,66.1368,66.1368,1,-999
2,gen=2_member=42_pso,7.66135,8.45827,3,0.661548,66.1324,66.1324,1,-999
2,gen=2_member=43_pso,20.3151,4.50156,5,0.777591,15.1142,15.1142,1,-999
2,gen=2_member=44_pso,11.4319,17.906,7,-999,0.137006,0.137006,1,-999
2,gen=2_member=45_pso,30.3786,2.08705,5,0.809817,0.0662335,0.0662335,1,-999
2,gen=2_member=46_pso,5.78102,9.24113,3,0.518692,72.134,72.134,1,-999
2,gen=2_member=47_pso,5.37225,6.84171,2,0.72354,98.132,98.132,1,-999
2,gen=2_member=48_pso,15.5024,0.0562632,2,1e+30,80.1895,80.1895,1,-999
2,gen=2_member=50_pso,8.59168,13.9277,4,0.900079,50.1452,50.1452,1,-999
2,gen=2_member=51_pso,4.34145,8.58853,2,0.515027,87.1183,87.1183,1,-999
2,gen=2_member=52_pso,15.5414,0.144778,3,1e+30,77.1896,77.1896,1,-999
2,gen=2_member=53_pso,15.2683,0.012879,1,1e+30,81.1966,81.1966,1,-999
2,gen=2_member=54_pso,12.4282,1.45561,2,0.280734,66.1928,66.1928,1,-999
2,gen=2_member=55_pso,26.9721,5.21622,6,1e+30,0.0798368,0.0798368,1,-999
2,gen=2_member=56_pso,3.13624,29.0833,2,0.521309,5.07505,5.07505,1,-999
2,gen=2_member=57_pso,9.45665,17.1728,6,1e+30,15.1801,15.1801,1,-999
2,gen=2_member=58_pso,18.2344,6.99422,5,1.14194,0.104326,0.104326,1,-999
2,gen=2_member=59_pso,4.01223,42.0674,3,1e+30,0.0421236,0.0421236,1,-999
2,gen=1_member=35_pso,13.6956,0.0711109,1,0.500806,81.2579,81.2579,1,-999
2,gen=0_member=7,1.71533,22.3066,1,1e+30,13.0886,13.0886,1,-999
2,gen=1_member=25_pso,2.51483,4.01025,1,1.25589,145.116,145.116,1,-999
2,gen=0_member=16,6.63302,0.967694,1,0.243301,170.126,170.126,1,-999
2,gen=1_member=30_pso,5.96487,1.29826,1,0.440334,163.118,163.118,1,-999
2,gen=0_member=9,2.65427,38.7836,2,1e+30,5.0489,5.0489,1,-999
2,gen=0_member=4,29.3507,0.45771,4,1e+30,24.0671,24.0671,1,-999
2,gen=1_member=20_pso,3.23384,20.3416,2,0.62301,12.1017,12.1017,1,-999
2,gen=1_member=28_pso,14.5638,0.508226,2,0.275404,73.2362,73.2362,1,-999
2,gen=1_member=34_pso,7.84205,14.0083,4,0.326454,50.139,50.139,1,-999
2,gen=0_member=1,11.3643,1.73623,2,0.688261,77.1843,77.1843,1,-999
2,gen=1_member=38_pso,6.83403,18.3793,4,1e+30,0.154184,0.154184,1,-999
2,gen=0_member=13,12.553,1.48285,3,0.881794,62.1966,62.1966,1,-999
2,gen=1_member=22_pso,4.38139,28.7307,3,0.528637,0.0791265,0.0791265,1,-999
2,gen=0_member=0,23.5588,1.09304,4,0.811256,39.0993,39.0993,1,-999
2,gen=0_member=17,12.8305,1.84782,4,1.38087,56.198,56.198,1,-999
2,gen=0_member=10,4.50472,21.6963,3,0.586294,0.106142,0.106142,1,-999
2,gen=0_member=8,9.39743,15.3115,5,0.942617,28.1667,28.1667,1,-999
2,gen=1_member=29_pso,9.04117,15.8229,5,1e+30,28.186,28.186,1,-999
2,gen=1_member=24_pso,36.7719,1.37566,5,1e+30,0.046794,0.046794,1,-999
3,gen=3_member=60_pso,6.87644,7.69605,4,0.423659,49.185,49.185,1,-999
3,gen=3_member=61_pso,2.92837,2.22787,2,1.26928,142.138,142.138,1,-999
3,gen=3_member=62_pso,5.07326,8.93179,4,0.927708,58.2078,58.2078,1,-999
3,gen=3_member=63_pso,2.82709,2.11225,1,0.331569,143.137,143.137,1,-999
3,gen=3_member=64_pso,59.7549,5.5544,7,1e+30,0.0213536,0.0213536,1,-999
3,gen=3_member=65_pso,7.71278,9.90408,6,2,30.178,30.178,1,-999
3,gen=3_member=66_pso,51.6174,2.61715,6,1e+30,23.026,23.026,1,-999
3,gen=3_member=67_pso,12.6195,0.151086,1,0.36745,66.2486,66.2486,1,-999
3,gen=3_member=68_pso,37.6862,1.09137,5,1e+30,44.0408,44.0408,1,-999
3,gen=3_member=69_pso,34.8245,0.891811,4,1e+30,55.0449,55.0449,1,-999
3,gen=3_member=70_pso,9.06095,0.801087,2,0.645994,95.2184,95.2184,1,-999
3,gen=3_member=71_pso,6.73486,16.3063,6,1e+30,0.104609,0.104609,1,-999
3,gen=3_member=72_pso,8.35606,12.5162,7,1e+30,16.1458,16.1458,1,-999
3,gen=3_member=73_pso,11.7493,1.51676,3,0.0954644,44.226,44.226,1,-999
3,gen=3_member=74_pso,1.43144,32.9925,1,1e+30,11.0513,11.0513,1,-999
3,gen=3_member=75_pso,7.94152,0.7066,1,0.170155,127.194,127.194,1,-999
3,gen=3_member=76_pso,6.03605,10.9956,5,1e+30,40.185,40.185,1,-999
3,gen=3_member=77_pso,8.9837,15.8322,8,-999,0.105357,0.105357,1,-999
3,gen=3_member=78_pso,10.8164,2.02163,3,0.659451,44.2241,44.2241,1,-999
3,gen=3_member=79_pso,6.53725,1.332,2,0.514155,141.175,141.175,1,-999
3,gen=2_member=53_pso,15.2683,0.012879,1,1e+30,68.1966,68.1966,1,-999
3,gen=0_member=7,1.71533,22.3066,1,0.95709,15.0723,15.0723,1,-999
3,gen=1_member=25_pso,2.51483,4.01025,1,0.692676,124.144,124.144,1,-999
3,gen=2_member=40_pso,8.82278,0.575241,1,0.354926,113.209,113.209,1,-999
3,gen=1_member=35_pso,13.6956,0.0711109,1,0.195621,69.2599,69.2599,1,-999
3,gen=1_member=30_pso,5.96487,1.29826,1,0.309761,149.193,149.193,1,-999
3,gen=0_member=16,6.63302,0.967694,1,0.160794,152.169,152.169,1,-999
3,gen=2_member=48_pso,15.5024,0.0562632,2,1e+30,67.1895,67.1895,1,-999
3,gen=0_member=9,2.65427,38.7836,2,1e+30,8.04025,8.04025,1,-999
3,gen=2_member=47_pso,5.37225,6.84171,3,0.748883,73.166,73.166,1,-999
3,gen=0_member=1,11.3643,1.73623,3,0.0926443,44.2229,44.2229,1,-999
3,gen=1_member=20_pso,3.23384,20.3416,3,0.80537,8.08506,8.08506,1,-999
3,gen=2_member=56_pso,3.13624,29.0833,3,1e+30,8.06547,8.06547,1,-999
3,gen=2_member=51_pso,4.34145,8.58853,3,0.638885,62.178,62.178,1,-999
3,gen=2_member=54_pso,12.4282,1.45561,3,0.353102,51.2579,51.2579,1,-999
3,gen=1_member=28_pso,14.5638,0.508226,2,0.520586,64.2362,64.2362,1,-999
3,gen=2_member=59_pso,4.01223,42.0674,4,1e+30,0.0358365,0.0358365,1,-999
3,gen=2_member=52_pso,15.5414,0.144778,3,1e+30,64.1896,64.1896,1,-999
3,gen=0_member=13,12.553,1.48285,4,1.07229,44.2619,44.2619,1,-999
3,gen=2_member=42_pso,7.66135,8.45827,5,2,41.1879,41.1879,1,-999
4,gen=4_member=80_pso,2.07499,40.7211,4,1e+30,0.0730668,0.0730668,1,-999
4,gen=4_member=81_pso,4.90118,39.227,7,1e+30,0.0813264,0.0813264,1,-999
4,gen=4_member=82_pso,3.23384,20.3416,5,2,83.1046,83.1046,1,-999
4,gen=4_member=83_pso,3.22707,4.79834,4,1e+30,113.208,113.208,1,-999
4,gen=4_member=84_pso,4.83466,24.8846,6,2,40.1513,40.1513,1,-999
4,gen=4_member=85_pso,2.79069,25.4371,4,1.44325,65.1766,65.1766,1,-999
4,gen=4_member=86_pso,1.10225,27.5927,2,1e+30,81.138,81.138,1,-999
4,gen=4_member=87_pso,3.04964,1.98732,1,0.224284,132.219,132.219,1,-999
4,gen=4_member=88_pso,15.457,0.195546,2,0.0815952,23.2067,23.2067,1,-999
4,gen=4_member=89_pso,2.16484,3.55982,2,1.04795,146.263,146.263,1,-999
4,gen=4_member=90_pso,10.4571,24.4865,6,1e+30,0.0879367,0.0879367,1,-999
4,gen=4_member=91_pso,11.9602,0.209775,1,0.28336,26.1882,26.1882,1,-999
4,gen=4_member=92_pso,49.3045,9.37769,5,1e+30,0.0257699,0.0257699,1,-999
4,gen=4_member=93_pso,2.09717,2.91448,1,0.896843,147.238,147.238,1,-999
4,gen=4_member=94_pso,6.91826,38.0019,7,1e+30,0.0855625,0.0855625,1,-999
4,gen=4_member=95_pso,5.51192,1.22272,1,0.292549,68.2184,68.2184,1,-999
4,gen=4_member=96_pso,5.61218,2.10198,2,0.244625,63.2134,63.2134,1,-999
4,gen=4_member=97_pso,1.00344,24.673,1,1e+30,99.1455,99.1455,1,-999
4,gen=4_member=98_pso,4.42146,31.656,6,1e+30,40.1134,40.1134,1,-999
4,gen=4_member=99_pso,1.11178,23.5837,1,0.145867,116.166,116.166,1,-999
4,gen=3_member=74_pso,1.43144,32.9925,3,1e+30,53.106,53.106,1,-999
4,gen=2_member=53_pso,15.2683,0.012879,1,1e+30,30.2149,30.2149,1,-999
4,gen=0_member=7,1.71533,22.3066,1,0.907242,113.137,113.137,1,-999
4,gen=1_member=25_pso,2.51483,4.01025,3,1.32572,144.244,144.244,1,-999
4,gen=3_member=67_pso,12.6195,0.151086,1,0.127283,29.2047,29.2047,1,-999
4,gen=2_member=40_pso,8.82278,0.575241,1,0.301863,43.1939,43.1939,1,-999
4,gen=3_member=63_pso,2.82709,2.11225,1,0.104368,131.212,131.212,1,-999
4,gen=1_member=30_pso,5.96487,1.29826,2,0.286738,65.2021,65.2021,1,-999
4,gen=1_member=35_pso,13.6956,0.0711109,1,0.191291,32.2627,32.2627,1,-999
4,gen=3_member=75_pso,7.94152,0.7066,1,0.169422,43.223,43.223,1,-999
4,gen=0_member=16,6.63302,0.967694,1,0.19125,63.2367,63.2367,1,-999
4,gen=2_member=48_pso,15.5024,0.0562632,2,1e+30,26.2047,26.2047,1,-999
4,gen=0_member=9,2.65427,38.7836,4,1.04669,18.0854,18.0854,1,-999
4,gen=3_member=61_pso,2.92837,2.22787,2,0.292339,130.218,130.218,1,-999
4,gen=3_member=70_pso,9.06095,0.801087,2,0.62583,41.1947,41.1947,1,-999
4,gen=1_member=28_pso,14.5638,0.508226,2,0.466157,23.2515,23.2515,1,-999
4,gen=3_member=79_pso,6.53725,1.332,3,1.0409,63.2269,63.2269,1,-999
4,gen=2_member=56_pso,3.13624,29.0833,5,1e+30,54.145,54.145,1,-999
4,gen=2_member=52_pso,15.5414,0.144778,3,1e+30,23.2032,23.2032,1,-999
5,gen=5_member=100_pso,10.9275,17.2075,7,1e+30,0.0759695,0.0759695,1,-999
5,gen=5_member=101_pso,2.51911,2.32823,1,0.0829782,176.354,176.354,1,-999
5,gen=5_member=102_pso,3.23384,20.3416,4,0.943411,53.1,53.1,1,-999
5,gen=5_member=103_pso,2.11762,3.43614,2,1.05151,178.286,178.286,1,-999
5,gen=5_member=104_pso,8.51267,14.333,6,2,20.0801,20.0801,1,-999
5,gen=5_member=105_pso,9.02027,10.3704,6,1e+30,20.0857,20.0857,1,-999
5,gen=5_member=106_pso,6.75342,0.910709,1,0.102317,110.232,110.232,1,-999
5,gen=5_member=107_pso,7.70207,9.94238,5,1e+30,53.0946,53.0946,1,-999
5,gen=5_member=108_pso,2.81948,2.11689,1,0.0303487,197.325,197.325,1,-999
5,gen=5_member=109_pso,37.4223,2.26234,3,1e+30,24.0387,24.0387,1,-999
5,gen=5_member=110_pso,3.22734,1.89941,1,0.176803,183.284,183.284,1,-999
5,gen=5_member=111_pso,2.94335,29.3564,4,1e+30,53.1092,53.1092,1,-999
5,gen=5_member=112_pso,1.02993,27.3145,2,1e+30,67.1418,67.1418,1,-999
5,gen=5_member=113_pso,3.3284,30.3249,5,1e+30,37.0982,37.0982,1,-999
5,gen=5_member=114_pso,59.9509,4.25705,4,1e+30,0.0206423,0.0206423,1,-999
5,gen=5_member=115_pso,6.18181,7.10324,4,1.63574,67.1272,67.1272,1,-999
5,gen=5_member=116_pso,4.42516,40.0204,6,1e+30,20.0564,20.0564,1,-999
5,gen=5_member=117_pso,5.60377,42.2198,7,1e+30,0.0496529,0.0496529,1,-999
5,gen=5_member=118_pso,13.9685,0.0548052,1,0.11261,49.2491,49.2491,1,-999
5,gen=5_member=119_pso,5.14938,1.25721,1,0.187594,141.226,141.226,1,-999
5,gen=4_member=97_pso,1.00344,24.673,1,1e+30,68.1415,68.1415,1,-999
5,gen=2_member=53_pso,15.2683,0.012879,1,1e+30,45.1882,45.1882,1,-999
5,gen=0_member=7,1.71533,22.3066,1,0.907242,65.1092,65.1092,1,-999
5,gen=4_member=93_pso,2.09717,2.91448,1,0.866495,179.324,179.324,1,-999
5,gen=2_member=40_pso,8.82278,0.575241,1,0.301863,82.1861,82.1861,1,-999
5,gen=4_member=95_pso,5.51192,1.22272,1,0.115746,141.218,141.218,1,-999
5,gen=4_member=91_pso,11.9602,0.209775,1,0.28336,47.1939,47.1939,1,-999
5,gen=4_member=87_pso,3.04964,1.98732,1,0.0366893,183.3,183.3,1,-999
5,gen=1_member=35_pso,13.6956,0.0711109,1,0.0984721,47.2627,47.2627,1,-999
5,gen=0_member=16,6.63302,0.967694,1,0.0996848,110.226,110.226,1,-999
5,gen=3_member=75_pso,7.94152,0.7066,1,0.15867,98.2064,98.2064,1,-999
5,gen=4_member=99_pso,1.11178,23.5837,1,0.145867,65.1241,65.1241,1,-999
5,gen=3_member=67_pso,12.6195,0.151086,1,0.127283,47.2047,47.2047,1,-999
5,gen=3_member=63_pso,2.82709,2.11225,1,0.0213897,197.324,197.324,1,-999
5,gen=4_member=86_pso,1.10225,27.5927,3,1e+30,65.1366,65.1366,1,-999
