generation,member,obj1,obj2,nsga2_front,nsga2_crowding_distance,spea2_unconstrained_fitness,spea2_constrained_fitness,is_feasible,feasible_distance
0,gen=0_member=7,1.71533,22.3066,1,1e+30,0.205958,0.205958,1,-999
0,gen=0_member=4,29.3507,0.45771,1,1e+30,0.0404475,0.0404475,1,-999
0,gen=0_member=16,6.63302,0.967694,1,1.87113,0.0437874,0.0437874,1,-999
0,gen=0_member=10,4.50472,21.6963,1,1.15461,0.205958,0.205958,1,-999
1,gen=1_member=35_pso,13.6956,0.0711109,1,1e+30,0.101755,0.101755,1,-999
1,gen=0_member=7,1.71533,22.3066,1,1e+30,0.0426733,0.0426733,1,-999
1,gen=1_member=25_pso,2.51483,4.01025,1,1.29952,0.140445,0.140445,1,-999
1,gen=0_member=16,6.63302,0.967694,1,0.700478,0.140445,0.140445,1,-999
1,gen=1_member=30_pso,5.96487,1.29826,1,0.48058,0.156535,0.156535,1,-999
2,gen=2_member=53_pso,15.2683,0.012879,1,1e+30,0.118063,0.118063,1,-999
2,gen=0_member=7,1.71533,22.3066,1,1e+30,0.0426733,0.0426733,1,-999
2,gen=1_member=25_pso,2.51483,4.01025,1,1.25589,0.140445,0.140445,1,-999
2,gen=2_member=40_pso,8.82278,0.575241,1,0.561328,0.202104,0.202104,1,-999
2,gen=1_member=35_pso,13.6956,0.0711109,1,0.500806,0.144952,0.144952,1,-999
2,gen=1_member=30_pso,5.96487,1.29826,1,0.440334,0.202104,0.202104,1,-999
2,gen=0_member=16,6.63302,0.967694,1,0.243301,0.236706,0.236706,1,-999
3,gen=3_member=74_pso,1.43144,32.9925,1,1e+30,0.0303843,0.0303843,1,-999
3,gen=2_member=53_pso,15.2683,0.012879,1,1e+30,0.118063,0.118063,1,-999
3,gen=0_member=7,1.71533,22.3066,1,0.95709,0.0449945,0.0449945,1,-999
3,gen=1_member=25_pso,2.51483,4.01025,1,0.692676,0.140445,0.140445,1,-999
3,gen=3_member=67_pso,12.6195,0.151086,1,0.36745,0.171811,0.171811,1,-999
3,gen=2_member=40_pso,8.82278,0.575241,1,0.354926,0.202104,0.202104,1,-999
3,gen=3_member=63_pso,2.82709,2.11225,1,0.331569,0.167384,0.167384,1,-999
3,gen=1_member=30_pso,5.96487,1.29826,1,0.309761,0.202104,0.202104,1,-999
3,gen=1_member=35_pso,13.6956,0.0711109,1,0.195621,0.144952,0.144952,1,-999
3,gen=3_member=75_pso,7.94152,0.7066,1,0.170155,0.246105,0.246105,1,-999
3,gen=0_member=16,6.63302,0.967694,1,0.160794,0.236706,0.236706,1,-999
4,gen=4_member=97_pso,1.00344,24.673,1,1e+30,0.0420415,0.0420415,1,-999
4,gen=2_member=53_pso,15.2683,0.012879,1,1e+30,0.188182,0.188182,1,-999
4,gen=0_member=7,1.71533,22.3066,1,0.907242,0.0467379,0.0467379,1,-999
4,gen=4_member=93_pso,2.09717,2.91448,1,0.896843,0.172092,0.172092,1,-999
4,gen=2_member=40_pso,8.82278,0.575241,1,0.301863,0.193851,0.193851,1,-999
4,gen=4_member=95_pso,5.51192,1.22272,1,0.292549,0.218424,0.218424,1,-999
4,gen=4_member=91_pso,11.9602,0.209775,1,0.28336,0.193851,0.193851,1,-999
4,gen=4_member=87_pso,3.04964,1.98732,1,0.224284,0.218424,0.218424,1,-999
4,gen=1_member=35_pso,13.6956,0.0711109,1,0.191291,0.267309,0.267309,1,-999
4,gen=0_member=16,6.63302,0.967694,1,0.19125,0.236706,0.236706,1,-999
4,gen=3_member=75_pso,7.94152,0.7066,1,0.169422,0.223024,0.223024,1,-999
4,gen=4_member=99_pso,1.11178,23.5837,1,0.145867,0.044067,0.044067,1,-999
4,gen=3_member=67_pso,12.6195,0.151086,1,0.127283,0.214943,0.214943,1,-999
4,gen=3_member=63_pso,2.82709,2.11225,1,0.104368,0.20711,0.20711,1,-999
5,gen=4_member=97_pso,1.00344,24.673,1,1e+30,0.0409901,0.0409901,1,-999
5,gen=2_member=53_pso,15.2683,0.012879,1,1e+30,0.188182,0.188182,1,-999
5,gen=0_member=7,1.71533,22.3066,1,0.907242,0.0454658,0.0454658,1,-999
5,gen=4_member=93_pso,2.09717,2.91448,1,0.866495,0.300371,0.300371,1,-999
5,gen=2_member=40_pso,8.82278,0.575241,1,0.301863,0.193851,0.193851,1,-999
5,gen=4_member=91_pso,11.9602,0.209775,1,0.28336,0.193851,0.193851,1,-999
5,gen=5_member=119_pso,5.14938,1.25721,1,0.187594,0.248355,0.248355,1,-999
5,gen=5_member=110_pso,3.22734,1.89941,1,0.176803,0.353615,0.353615,1,-999
5,gen=3_member=75_pso,7.94152,0.7066,1,0.15867,0.223024,0.223024,1,-999
5,gen=4_member=99_pso,1.11178,23.5837,1,0.145867,0.0429147,0.0429147,1,-999
5,gen=3_member=67_pso,12.6195,0.151086,1,0.127283,0.214943,0.214943,1,-999
5,gen=4_member=95_pso,5.51192,1.22272,1,0.115746,0.228171,0.228171,1,-999
5,gen=5_member=118_pso,13.9685,0.0548052,1,0.11261,0.249108,0.249108,1,-999
5,gen=5_member=106_pso,6.75342,0.910709,1,0.102317,0.274647,0.274647,1,-999
5,gen=0_member=16,6.63302,0.967694,1,0.0996848,0.284769,0.284769,1,-999
5,gen=1_member=35_pso,13.6956,0.0711109,1,0.0984721,0.267309,0.267309,1,-999
5,gen=5_member=101_pso,2.51911,2.32823,1,0.0829782,0.367337,0.367337,1,-999
5,gen=4_member=87_pso,3.04964,1.98732,1,0.0366893,0.380138,0.380138,1,-999
5,gen=5_member=108_pso,2.81948,2.11689,1,0.0303487,0.406137,0.406137,1,-999
5,gen=3_member=63_pso,2.82709,2.11225,1,0.0213897,0.407611,0.407611,1,-999
6,gen=4_member=97_pso,1.00344,24.673,1,1e+30,0.0409901,0.0409901,1,-999
6,gen=2_member=53_pso,15.2683,0.012879,1,1e+30,0.214943,0.214943,1,-999
6,gen=6_member=137_pso,1.54124,22.0329,1,0.907242,0.0460217,0.0460217,1,-999
6,gen=4_member=93_pso,2.09717,2.91448,1,0.867599,0.300371,0.300371,1,-999
6,gen=5_member=110_pso,3.22734,1.89941,1,0.162949,0.353615,0.353615,1,-999
6,gen=6_member=135_pso,4.97728,1.30133,1,0.160781,0.261877,0.261877,1,-999
6,gen=3_member=75_pso,7.94152,0.7066,1,0.15867,0.286159,0.286159,1,-999
6,gen=4_member=99_pso,1.11178,23.5837,1,0.144763,0.0429147,0.0429147,1,-999
